"id","pergunta","resposta","categoria"
"1","Como faço minha matrícula no semestre?","A matrícula semestral é feita pelo sistema acadêmico dentro do período definido no calendário. O estudante deve selecionar as disciplinas disponíveis e confirmar o comprovante ao final.","Matrícula"
"2","Onde encontro o comprovante de matrícula?","O comprovante de matrícula fica disponível no sistema acadêmico após a confirmação das disciplinas. Ele pode ser baixado na área de documentos ou relatórios acadêmicos.","Matrícula"
"3","Posso alterar disciplinas depois da matrícula?","Sim. A alteração de disciplinas pode ser feita no período de ajuste de matrícula, conforme o calendário acadêmico e a disponibilidade de vagas.","Matrícula"
"4","Como trancar uma disciplina?","O trancamento de disciplina deve ser solicitado pelo sistema acadêmico ou pelo colegiado durante o prazo oficial. Depois da aprovação, a disciplina deixa de contar na carga cursada do semestre.","Trancamento"
"5","Qual é o prazo para trancamento de matrícula?","O prazo para trancamento de matrícula é definido no calendário acadêmico de cada semestre. A solicitação deve ser feita antes do encerramento desse período.","Trancamento"
"6","O que acontece se eu abandonar uma disciplina?","Abandonar uma disciplina sem trancamento formal pode gerar reprovação por falta ou nota insuficiente. O ideal é verificar os prazos de ajuste e trancamento com o colegiado.","Trancamento"
"7","Como consultar meu histórico escolar?","O histórico escolar pode ser consultado no sistema acadêmico, geralmente na seção de documentos, relatórios ou vida acadêmica do estudante.","Histórico"
"8","Como solicitar histórico escolar oficial?","O histórico escolar oficial deve ser solicitado pelo sistema acadêmico, secretaria ou protocolo da instituição, conforme as regras do campus.","Histórico"
"9","O que significa coeficiente de rendimento?","O coeficiente de rendimento é um indicador do desempenho acadêmico calculado a partir das notas e da carga horária das disciplinas cursadas.","Histórico"
"10","Como saber minha grade curricular?","A grade curricular do curso pode ser consultada no projeto pedagógico, no site do curso ou no sistema acadêmico, dependendo da instituição.","Disciplinas"
"11","Como vejo os pré-requisitos de uma disciplina?","Os pré-requisitos de uma disciplina aparecem na matriz curricular, no ementário ou no sistema acadêmico antes da matrícula.","Disciplinas"
"12","O que fazer quando uma disciplina está sem vaga?","Quando uma disciplina está sem vaga, o estudante pode acompanhar o período de ajuste, procurar o colegiado ou solicitar orientação sobre prioridades de matrícula.","Disciplinas"
"13","Como solicitar aproveitamento de estudos?","O aproveitamento de estudos deve ser solicitado com histórico, ementas e documentos da instituição de origem. O colegiado analisa a equivalência entre disciplinas.","Aproveitamento"
"14","Quais documentos preciso para equivalência de disciplinas?","Normalmente são exigidos histórico escolar, programa ou ementa da disciplina e comprovante de carga horária. O colegiado pode solicitar documentos adicionais.","Aproveitamento"
"15","Posso aproveitar disciplinas cursadas em outra universidade?","Sim, desde que haja compatibilidade de conteúdo, carga horária e critérios definidos pelo colegiado do curso.","Aproveitamento"
"16","Como funciona o TCC?","O TCC é desenvolvido conforme o regulamento do curso, com orientação docente, etapas de projeto, desenvolvimento, entrega e apresentação para banca.","TCC"
